subject,body,is_phishing
Package Delivery,Looking forward to our team outing next Friday!,0
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
HR Policy Update,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Package Delivery,Thanks for subscribing to our newsletter!,0
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Subject mouth wish range area,Document shared with you. http://alert-now.cf,1
Focus after president,Unauthorized login. http://login-security.xyz,1
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Project Status,Your support ticket has been resolved.,0
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Recent arm car,Security alert. http://password-reset.tk,1
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
Support Ticket Response,Thanks for subscribing to our newsletter!,0
HR Policy Update,Thank you for your order #12345.,0
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
HR Policy Update,Reminder: Submit your timesheet by end of day Friday.,0
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Support Ticket Response,Here is the latest status update on Project Apollo.,0
For part manager,Confirm your identity. http://alert-now.cf,1
Order Confirmation,Your support ticket has been resolved.,0
College can hear,Security alert. http://password-reset.tk,1
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Project Status,Please review the updated HR policy document.,0
Local international magazine,Confirm your identity. http://password-reset.tk,1
Eye same administration performance alone,Banking issue. http://password-reset.tk,1
Fund manage government theory,Unauthorized login. http://secure-update.xyz/login,1
Identify improve along,Security alert. http://confirm-user.ga,1
More author notice,Verify your account. http://secure-access.ml,1
Your Monthly Invoice,Here is the latest status update on Project Apollo.,0
Newsletter Subscription,Your support ticket has been resolved.,0
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Package Delivery,Your support ticket has been resolved.,0
Package Delivery,Looking forward to our team outing next Friday!,0
Hard practice even head red,Login immediately. http://confirm-user.ga,1
Your Monthly Invoice,Your support ticket has been resolved.,0
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Fact board report,Unauthorized login. http://alert-now.cf,1
Package Delivery,Looking forward to our team outing next Friday!,0
HR Policy Update,Looking forward to our team outing next Friday!,0
Package Delivery,Thanks for subscribing to our newsletter!,0
Meeting Reminder,Here is the latest status update on Project Apollo.,0
Timesheet Submission Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Send type share key tonight,Login immediately. http://secure-access.ml,1
Last event ago event,Invoice error. http://bank-secure.gq,1
Despite same,Reset your password. http://confirm-user.ga,1
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Order Confirmation,Thank you for your order #12345.,0
Meeting Reminder,Here is the latest status update on Project Apollo.,0
Far impact yeah,Verify your account. http://alert-now.cf,1
HR Policy Update,Reminder: Submit your timesheet by end of day Friday.,0
Four in,Payment declined. http://confirm-user.ga,1
Team Outing,Your support ticket has been resolved.,0
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Tax lawyer effort,Banking issue. http://secure-access.ml,1
Join ask feeling,Login immediately. http://doc-share.xyz/file.pdf,1
Form company end decision,Click here to update. http://secure-access.ml,1
Timesheet Submission Reminder,Thank you for your order #12345.,0
Must from best peace politics,Document shared with you. http://secure-access.ml,1
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Loss thought,Update required. http://password-reset.tk,1
HR Policy Update,Your support ticket has been resolved.,0
Life director effort,Login immediately. http://login-security.xyz,1
Officer stop situation,Update required. http://confirm-user.ga,1
Their forward,Login immediately. http://bank-secure.gq,1
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Someone if nothing knowledge,Unauthorized login. http://alert-now.cf,1
Us center ahead together,Confirm your identity. http://confirm-user.ga,1
Animal indicate yeah hour,Password expires. http://bank-secure.gq,1
Package Delivery,Looking forward to our team outing next Friday!,0
Order Confirmation,Looking forward to our team outing next Friday!,0
Team Outing,Thank you for your order #12345.,0
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,Thank you for your order #12345.,0
If capital half north out,Payment declined. http://bank-secure.gq,1
Region member prepare,Security alert. http://doc-share.xyz/file.pdf,1
Order Confirmation,Thank you for your order #12345.,0
Team Outing,Your support ticket has been resolved.,0
Meeting Reminder,Thank you for your order #12345.,0
Down financial similar,Click here to update. http://secure-access.ml,1
Situation raise partner involve,Password expires. http://password-reset.tk,1
Who form forward,Urgent action required. http://secure-update.xyz/login,1
HR Policy Update,"Dear customer, please find your invoice attached.",0
Race who company,Update required. http://alert-now.cf,1
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Meeting Reminder,Thank you for your order #12345.,0
Support Ticket Response,Here is the latest status update on Project Apollo.,0
Right exist letter central single,Update required. http://password-reset.tk,1
Timesheet Submission Reminder,Please review the updated HR policy document.,0
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Package Delivery,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Project Status,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
HR Policy Update,Your support ticket has been resolved.,0
Message perform resource nothing,Security alert. http://alert-now.cf,1
Team Outing,Looking forward to our team outing next Friday!,0
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Number make leg,Urgent action required. http://secure-access.ml,1
Support Ticket Response,Your support ticket has been resolved.,0
Do too central,Payment declined. http://doc-share.xyz/file.pdf,1
Fund someone moment,Invoice error. http://bank-secure.gq,1
Your Monthly Invoice,Your support ticket has been resolved.,0
War choice article enough,Urgent action required. http://login-security.xyz,1
Meet resource side hair,Document shared with you. http://doc-share.xyz/file.pdf,1
Against between mean moment,Document shared with you. http://password-reset.tk,1
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Eat thought great positive indicate,Login immediately. http://confirm-user.ga,1
After population,Reset your password. http://login-security.xyz,1
Stage summer,Document shared with you. http://bank-secure.gq,1
Our consumer risk current,Urgent action required. http://bank-secure.gq,1
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Support Ticket Response,Your support ticket has been resolved.,0
Team Outing,Looking forward to our team outing next Friday!,0
Team Outing,Thanks for subscribing to our newsletter!,0
Package Delivery,Thanks for subscribing to our newsletter!,0
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Send candidate cover create style,Reset your password. http://secure-update.xyz/login,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Argue Democrat hot five common,Click here to update. http://password-reset.tk,1
Easy recognize office,Login immediately. http://secure-update.xyz/login,1
President car think skin,Verify your account. http://secure-access.ml,1
Last mouth,Banking issue. http://secure-access.ml,1
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Package Delivery,Please review the updated HR policy document.,0
Part high skill store power,Verify your account. http://confirm-user.ga,1
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Guess movie color,Update required. http://alert-now.cf,1
Join explain success today worker,Confirm your identity. http://login-security.xyz,1
Meeting Reminder,Your support ticket has been resolved.,0
Tv ability large,Password expires. http://password-reset.tk,1
